latitude,longitude,n_units
31.86749077,-85.15001678,46
30.63755989,-88.2210083,56
30.29727745,-87.69134521,160
30.64639282,-88.23265839,80
33.52178574,-86.80361176,197
30.70853233,-88.1999588,112
32.960186,-86.74326324,48
31.29301643,-86.49241638,45
33.27146912,-88.09293365,52
32.39736176,-85.74230957,100
33.6843071,-85.84140015,56
33.61454391,-85.8011322,144
33.31311035,-85.74421692,36
33.32037735,-87.90966797,26
34.48648834,-87.28259277,32
33.44572449,-86.10321808,32
30.6609478,-88.1989975,120
30.65633392,-88.14312744,208
32.62400436,-85.49755859,64
31.21374702,-85.35722351,104
32.39199066,-86.27588654,65
33.1980896,-87.58887482,125
34.4356842,-85.76691437,40
33.17764282,-87.51780701,152
33.05448914,-86.0532608,44
34.0319519,-85.96983337,40
30.73112297,-88.08463287,110
34.73932648,-86.68812561,160
32.32385254,-86.230896,168
33.62969971,-86.69509888,240
34.31798553,-86.50820923,74
32.82943344,-85.76206207,36
34.32249832,-86.28070068,40
32.31558228,-86.28179169,142
34.80158997,-87.66162872,38
33.42216873,-86.92775726,40
33.52178574,-86.80361176,198
32.42424774,-87.05066681,56
31.31171799,-85.82478333,48
30.60817719,-88.08457947,104
32.94456482,-87.16814423,32
33.90160751,-88.12400818,40
33.52020264,-86.80409241,251
32.44369125,-87.50588989,36
32.29664612,-86.27548981,72
33.16973877,-85.3711853,32
32.52279663,-86.36837006,56
33.63610458,-85.58940125,32
31.32023239,-85.84217834,112
32.4372406,-87.02464294,40
33.5885582,-86.66313934,200
30.68061256,-87.86022186,104
32.43680573,-87.01465607,72
34.81588364,-86.99622345,72
30.71175385,-88.07427979,60
33.51356506,-86.81052399,74
32.50682068,-87.83036041,40
32.44353485,-85.02386475,56
31.28800964,-85.47011566,56
31.70218849,-86.26077271,32
34.75182724,-86.60312653,80
31.82032967,-86.6164856,33
31.79571724,-85.96780396,42
34.81864166,-86.94985199,48
32.12412643,-85.7062912,40
31.08577538,-87.07141113,53
33.12437057,-88.14324188,32
34.27706909,-86.1960144,72
30.41616631,-88.24793243,55
30.563694,-87.70527649,28
34.7677269,-86.57181549,63
32.94657516,-87.16780853,56
30.7565937,-88.2246933,72
34.49283218,-87.72562408,48
33.11909866,-86.85270691,56
30.65611076,-88.14370728,120
31.92116737,-87.74224091,32
34.67829514,-85.99681091,40
34.0008049,-85.99478912,248
32.86230469,-85.1931076,48
33.19334793,-87.59379578,52
33.9629364,-86.02809143,36
33.15399551,-87.52674866,92
34.55549622,-86.99068451,40
33.5885582,-86.66313934,120
34.73597336,-86.58555603,101
30.54022026,-87.71186066,76
34.13010025,-87.98007965,40
30.53815651,-87.69801331,60
33.96350861,-86.45616913,32
32.71350098,-87.58239746,32
33.17692566,-86.28302765,32
30.68745995,-88.20094299,80
33.39467621,-86.77088165,168
34.16263199,-85.69581604,52
30.40374947,-87.66271973,48
30.50158691,-87.89160919,96
30.6313076,-88.13980865,60
32.46139145,-85.02780151,88
33.37215805,-88.01485443,56
30.67960167,-88.22229004,160
30.53578568,-87.70993042,104
30.68759155,-88.05293274,53
30.56184196,-88.2191391,40
32.35724258,-86.24094391,230
32.08781052,-87.81680298,33
32.70785141,-87.60866547,48
33.11698151,-87.55812073,96
33.22190857,-87.54270935,200
30.9141922,-87.78050232,90
30.69955635,-88.05023956,176
32.50091171,-87.82170105,36
34.45533371,-86.93230438,40
33.8470726,-87.26876831,41
31.42160225,-86.96169281,48
32.65854263,-85.36330414,48
33.18843842,-87.58041382,112
32.10189056,-88.21297455,24
32.93665314,-85.9716568,40
33.52087021,-86.80761719,76
34.57154846,-86.98404694,98
31.70756149,-87.79203796,24
33.63441849,-86.67998505,198
32.49549866,-87.81174469,40
30.4097805,-87.67923737,32
34.23391724,-87.59816742,40
31.29289246,-86.49143219,48
33.23464966,-87.62819672,97
32.84482956,-87.9161377,55
34.16053391,-86.84357452,56
33.08299637,-86.75242615,47
34.81707382,-87.62961578,42
31.89165688,-87.73661041,100
34.71580887,-87.78413391,56
30.51391983,-87.88117218,40
30.67981339,-88.04983521,80
30.68950844,-88.1844635,39
31.54883003,-87.88197327,48
30.62729454,-87.90880585,150
32.42315674,-85.67349243,34
34.75425339,-86.66703033,112
33.56356812,-86.7241745,66
32.50659943,-87.81690216,30
32.43725967,-87.02249908,120
30.36766052,-87.69433594,128
30.64352608,-88.22444153,92
34.47387314,-87.2776947,36
30.72860336,-88.15103149,128
32.09374619,-88.20851898,47
34.70903015,-86.61138916,199
30.56648064,-88.20362091,188
33.18843842,-87.58041382,144
34.81567764,-86.94860077,84
32.09449768,-88.20857239,55
32.83055496,-87.88299561,33
30.6307354,-87.74726868,48
30.55422783,-87.70539856,40
31.70010948,-87.76571655,43
33.50746536,-86.887146,112
31.46481895,-88.25312805,24
32.50012207,-88.2807312,36
30.55208969,-88.17790222,40
34.32129669,-86.53180695,40
33.49010468,-86.95624542,40
32.47564316,-86.41257477,96
33.80764389,-85.75243378,46
32.31584549,-86.22720337,96
31.51596832,-87.89070129,48
32.94788742,-87.15366364,42
33.43072891,-86.87173462,100
31.82419968,-85.92910004,32
31.9151001,-85.16549683,40
34.02410126,-85.97689819,40
31.49687767,-87.31799316,56
31.19550133,-85.37940216,56
34.47180557,-85.70391846,56
33.8470726,-87.26876831,48
30.69893837,-88.05191803,87
32.62998581,-85.39782715,56
32.46486282,-86.45309448,56
33.50779724,-86.89083099,108
31.28800964,-85.47011566,40
32.48849869,-86.38670349,56
31.21087074,-85.4339447,72
33.11698151,-87.55812073,116
34.68187714,-86.76204681,64
34.7239418,-86.58283997,86
33.31794357,-87.90899658,24
33.45135498,-86.11419678,56
34.55549622,-86.99068451,48
32.35989761,-86.31549835,55
31.32031059,-85.83843231,88
32.30860519,-86.34415436,80
33.18838501,-86.59851837,46
32.3212204,-86.24720764,160
33.16952515,-85.37126923,36
34.85170746,-87.64038086,56
30.41633606,-88.24867249,80
33.18688583,-86.24525452,56
34.84830093,-87.68219757,56
32.70698929,-87.60798645,47
32.83264923,-85.17782593,48
32.63479233,-85.46525574,56
30.41082001,-87.59663391,56
33.24509811,-87.59082031,56
34.22620392,-86.16484833,52
34.67670059,-87.81040192,56
33.86399841,-87.17680359,48
31.50482178,-87.89648438,47
32.61009979,-87.29743958,47
33.2109108,-87.49377441,56
31.44895744,-85.65107727,56
32.93125153,-85.94322968,56
34.49034119,-87.71636963,48
34.75377655,-86.66484833,56
33.18652344,-87.55175781,88
32.61759949,-85.50727081,72
33.6360321,-86.68184662,104
33.5502243,-86.87091827,56
34.6772995,-87.03269958,56
30.6193943,-88.18677521,56
31.78471756,-85.94953156,112
33.18652344,-87.55175781,86
30.7787323,-88.25538635,48
33.53139877,-86.34140015,60
31.86805916,-85.1483078,53
34.1523056,-87.98521423,49
33.19512939,-87.5741272,6
33.19512939,-87.5741272,6
33.19512939,-87.5741272,0
33.71602249,-87.38581085,42
31.69886208,-87.77988434,24
34.87259293,-85.81103516,24
33.15681839,-87.52468872,50
32.60717773,-88.18334198,47
32.42059708,-86.27206421,96
34.3147049,-86.5051651,48
34.8526001,-87.61250305,0
30.70520592,-88.22142029,70
33.45388031,-86.10968781,50
32.81528091,-86.60540009,56
30.88929367,-87.78771973,40
32.6413002,-85.47160339,56
31.27918243,-86.49754333,56
33.96146011,-86.4556427,40
33.24499893,-86.61340332,30
33.57270432,-86.77920532,56
32.37266159,-86.29322815,129
32.09590149,-88.20903778,0
34.84830093,-87.68219757,0
33.49986649,-86.79482269,0
33.19358444,-87.58970642,0
30.31201744,-87.69464111,0
34.78179932,-86.60759735,0
31.54389954,-87.45459747,0
32.63047791,-85.40194702,0
30.68938255,-88.12171173,0
32.37596893,-86.3122406,0
33.5719986,-86.07089996,0
34.44910431,-86.91033173,0
32.38234329,-86.30082703,0
31.27265167,-86.28663635,0
31.44704056,-85.66610718,0
34.76895142,-86.76740265,0
34.72550964,-87.67919159,0
32.45159912,-87.0542984,0
32.83264542,-85.17865753,0
34.21105576,-91.97782898,65
35.06870651,-92.44194794,32
34.81328583,-92.27535248,56
34.79792786,-92.28349304,124
34.7993927,-92.2845459,118
33.3395195,-91.29033661,36
36.19682312,-94.13411713,64
36.19682312,-94.13411713,56
35.2635994,-93.11422729,72
33.89615631,-91.49307251,24
35.14810944,-90.13246155,24
36.07468796,-90.96950531,30
35.63224411,-91.26217651,64
34.76941681,-92.35255432,72
35.1537323,-90.15557861,72
34.79953766,-92.26222229,120
35.09894562,-92.44574738,50
33.13733673,-91.26317596,33
35.42951965,-94.31009674,29
34.52934647,-93.04782867,71
35.61614609,-91.26416779,70
33.87768173,-91.46748352,33
34.53170013,-93.01119995,365
35.14729691,-90.13130188,56
35.13936996,-90.18958282,57
34.66093826,-92.34457397,44
35.02342224,-90.79000854,58
34.74084854,-92.29299164,169
34.77238083,-92.27546692,243
34.50258636,-91.55899048,56
34.50153351,-91.55919647,56
33.88807678,-91.50547028,60
34.77708817,-91.57743835,24
34.34998322,-92.80219269,36
34.34998322,-92.80219269,36
34.48529053,-91.54467773,10
34.4850769,-91.54449463,4
35.38454819,-94.40951538,6
35.45591354,-94.36516571,54
36.27402115,-92.58772278,32
36.21390152,-91.76022339,24
35.38566589,-94.40840149,6
34.76067352,-92.25302887,196
36.29069901,-92.48508453,10
36.29224014,-92.48400116,10
36.0450592,-90.49588776,24
33.66797638,-93.57498169,32
36.23120117,-92.69100952,9
36.25324249,-90.98212433,24
33.87845612,-91.46888733,20
35.45597076,-94.36514282,54
34.62907028,-92.34181976,1
33.66309357,-94.11605072,56
34.7348938,-92.27026367,1
34.03753281,-94.36508942,36
35.49116898,-92.0480423,24
35.01408005,-90.77248383,32
35.44448853,-93.38526154,20
35.4025383,-90.75583649,20
36.05834198,-90.53003693,14
35.50786591,-94.05234528,24
35.76536942,-91.63903046,22
34.78011322,-91.74336243,24
34.72810745,-92.3337326,1
33.27463531,-93.23313141,36
34.12485504,-93.08592224,32
34.89291382,-94.09156036,24
35.03383255,-91.95196533,16
33.93900681,-93.85436249,32
35.87071228,-92.12769318,26
35.94060135,-92.63780212,25
